epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.892264,3.1008,3.66393,3.35435,0.003,0.9,0.00775,0.00145,2.87249,3.63689,3.23076,0,0,0
2,1.22229,3.36965,3.96762,3.44972,0.003,0.9,0.00814,0.00169,2.87653,3.61612,3.21246,1.934e-05,1.934e-05,1.934e-05
3,1.64859,3.11442,3.69577,3.26982,0.003,0.9,0.00733,0.0016,2.86973,3.56885,3.17645,3.736e-05,3.736e-05,3.736e-05
4,1.96039,3.13418,3.5048,3.25829,0.00333,1,0.01038,0.00196,2.83788,3.51389,3.13324,5.406e-05,5.406e-05,5.406e-05
5,2.20259,2.9594,3.6769,2.97205,0.003,0.9,0.0091,0.00184,2.84177,3.52226,3.14202,6.944e-05,6.944e-05,6.944e-05
6,2.55074,2.85749,3.3326,2.9442,0.00333,1,0.01151,0.00309,2.7428,3.48339,3.0099,8.35e-05,8.35e-05,8.35e-05
7,2.84661,2.67616,3.4319,2.68931,0.00333,1,0.02841,0.00549,2.75028,3.46844,3.02927,9.624e-05,9.624e-05,9.624e-05
8,3.14632,2.67147,3.50535,2.88975,0.00267,0.8,0.02,0.00382,2.86919,3.46493,3.05406,0.00010766,0.00010766,0.00010766
9,3.43915,2.67191,3.4725,2.80553,0.00267,0.8,0.01457,0.00399,2.85201,3.46938,3.02692,0.00011776,0.00011776,0.00011776
10,3.72357,2.69483,3.74528,2.83451,0.00267,0.8,0.01325,0.0041,2.97892,3.33497,2.97555,0.00012654,0.00012654,0.00012654
11,4.01586,2.54513,3.49957,2.66933,0.00267,0.8,0.02496,0.00917,2.9672,3.24271,2.90461,0.000134,0.000134,0.000134
12,4.37668,2.12979,3.45105,2.32395,0.00267,0.8,0.0634,0.03436,2.76912,3.09902,2.7336,0.00014014,0.00014014,0.00014014
13,4.67583,2.57274,3.63617,2.441,0.003,0.9,0.11759,0.06609,2.42607,2.97902,2.50071,0.00014496,0.00014496,0.00014496
14,4.98103,1.92152,3.16433,2.17023,0.003,0.9,0.12681,0.07146,2.32611,3.03738,2.40145,0.00014846,0.00014846,0.00014846
15,5.27274,2.28396,3.40116,2.29297,0.003,0.9,0.14618,0.06663,2.23298,3.04666,2.22931,0.00015064,0.00015064,0.00015064
16,5.55211,2.37281,3.42189,2.32483,0.00333,1,0.1673,0.09072,2.1737,3.01205,2.11514,0.0001515,0.0001515,0.0001515
17,5.84863,1.96163,3.26682,2.06412,0.00333,1,0.17383,0.07894,1.98849,2.92185,1.96166,0.00015104,0.00015104,0.00015104
18,6.11672,1.80731,3.16583,2.08471,0.00333,1,0.17383,0.07894,1.98849,2.92185,1.96166,0.00014926,0.00014926,0.00014926
19,6.47735,1.80792,3.0076,1.90717,0.00333,1,0.22705,0.1315,1.74356,2.91255,1.79015,0.00014616,0.00014616,0.00014616
20,6.77485,1.7271,3.01895,1.86741,0.00333,1,0.22705,0.1315,1.74356,2.91255,1.79015,0.00014174,0.00014174,0.00014174
21,7.86115,1.67465,3.58906,1.88103,0.00333,1,0.25952,0.14167,1.62259,2.89451,1.68613,0.000136,0.000136,0.000136
22,8.17335,1.64201,3.44798,1.91028,0.00333,1,0.25952,0.14167,1.62259,2.89451,1.68613,0.00012894,0.00012894,0.00012894
23,8.48635,1.73127,4.09309,2.02056,0.00333,1,0.32098,0.1862,1.53634,2.85635,1.59667,0.00012056,0.00012056,0.00012056
24,8.79397,1.76351,3.9783,2.0895,0.00333,1,0.32098,0.1862,1.53634,2.85635,1.59667,0.00011086,0.00011086,0.00011086
25,9.1949,1.79988,3.7602,1.96756,0.00333,1,0.33828,0.21388,1.56899,2.85138,1.57526,9.984e-05,9.984e-05,9.984e-05
26,9.48221,1.68574,3.8814,1.85513,0.00333,1,0.33828,0.21388,1.56899,2.85138,1.57526,8.75e-05,8.75e-05,8.75e-05
27,9.76842,1.52038,3.45615,1.90433,0.00333,1,0.35555,0.2332,1.4019,2.84303,1.47687,7.384e-05,7.384e-05,7.384e-05
28,10.0491,1.4949,3.35923,1.93133,0.00333,1,0.35555,0.2332,1.4019,2.84303,1.47687,5.886e-05,5.886e-05,5.886e-05
29,10.3354,1.40894,3.56418,1.76439,0.00333,1,0.38884,0.26737,1.35837,2.80893,1.44499,4.256e-05,4.256e-05,4.256e-05
30,10.6163,1.6421,3.33601,1.76169,0.00333,1,0.38884,0.26737,1.35837,2.80893,1.44499,2.494e-05,2.494e-05,2.494e-05
